Список клиентов
Порядковый номер;Дата;Время начала;Время конца;Имя клиента;Специалист
;2023-06-29;11:30;11:45;Иванов Иван Иванович 2;Петр Петрович Петров 5
;2023-06-29;13:00;13:45;Иванов Иван Иванович 1;Петр Петрович Петров 4
;2023-06-29;11:00;11:45;Иванов Иван Иванович 3;Петр Петрович Петров 3
;2023-06-29;20:15;20:45;Иванов Иван Иванович 4;Петр Петрович Петров 2
;2023-06-30;18:00;19:00;Иванов Иван Иванович 2;Петр Петрович Петров 1
;2023-06-30;18:15;18:30;Иванов Иван Иванович 1;Петр Петрович Петров 5
;2023-06-30;17:30;18:30;Иванов Иван Иванович 4;Петр Петрович Петров 4
;2023-07-01;12:15;12:30;Иванов Иван Иванович 3;Петр Петрович Петров 3
;2023-07-01;20:30;21:00;Иванов Иван Иванович 2;Петр Петрович Петров 6
;2023-07-01;14:45;15:30;Иванов Иван Иванович 1;Петр Петрович Петров 6
;2023-07-02;16:20;17:05;Иванов Иван Иванович 4;Петр Петрович Петров 5
;2023-07-02;18:30;19:00;Иванов Иван Иванович 2;Петр Петрович Петров 4
;2023-07-02;12:00;13:00;Иванов Иван Иванович 1;Петр Петрович Петров 3
;2023-07-02;15:45;16:00;Иванов Иван Иванович 4;Петр Петрович Петров 2
;2023-07-01;16:00;16:59;Харюткин Аркадий Алексеевич;Петр Петрович Петров 6
;2023-06-30;11:00;11:59;Харюткин Аркадий Алексеевич\;Петр Петрович Петров 6
;2023-07-01;16:15;16:44;Аркадий Алексеевич;Петр Петрович Петров 6
;2023-06-30;11:00;11:44;Аркадий Алексеевич;Петр Петрович Петров 3
;2023-07-01;12:00;12:29;Аркадий Алексеевич;Петр Петрович Петров 2
;2023-07-02;12:00;12:29;Аркадий;Петр Петрович Петров 4
